#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|EventType
7079341|2016-08-24T03:36:20.050000|42.8|13.2262|8.6|BULLETIN-INGV||||ML|2.8|--|7 km W Arquata del Tronto (AP)|earthquake
7079401|2016-08-24T03:37:40.270000|42.7373|13.1542|10.7|BULLETIN-INGV||||ML|2.6|--|8 km SE Norcia (PG)|earthquake
7079471|2016-08-24T03:39:24.840000|42.6172|13.2568|11.5|BULLETIN-INGV||||ML|3.1|--|3 km W Amatrice (RI)|earthquake
7079501|2016-08-24T03:40:10.930000|42.6143|13.2437|10.7|BULLETIN-INGV||||Mw|4.1|--|4 km W Amatrice (RI)|earthquake
7079581|2016-08-24T03:41:49.270000|42.7582|13.1085|8.0|BULLETIN-INGV||||ML|2.5|--|4 km SE Norcia (PG)|earthquake
7079591|2016-08-24T03:42:50.160000|42.7848|13.2187|6.8|BULLETIN-INGV||||ML|2.8|--|7 km W Arquata del Tronto (AP)|earthquake
7079801|2016-08-24T03:43:44.780000|42.7125|13.1892|10.6|BULLETIN-INGV||||ML|2.6|--|5 km W Accumoli (RI)|earthquake
7079941|2016-08-24T03:45:43.010000|42.728|13.1532|8.4|BULLETIN-INGV||||ML|2.8|--|9 km W Accumoli (RI)|earthquake
7080091|2016-08-24T03:47:56.980000|42.6125|13.257|11.8|BULLETIN-INGV||||ML|2.5|--|3 km SW Amatrice (RI)|earthquake
7080171|2016-08-24T03:48:25.380000|42.6268|13.2732|11.1|BULLETIN-INGV||||ML|2.5|--|1 km W Amatrice (RI)|earthquake
7080231|2016-08-24T03:50:11.260000|42.6542|13.2103|9.6|BULLETIN-INGV||||ML|2.8|--|6 km SW Accumoli (RI)|earthquake
7080341|2016-08-24T03:51:09.800000|42.8142|13.1613|9.5|BULLETIN-INGV||||ML|3.0|--|6 km E Norcia (PG)|earthquake
7080471|2016-08-24T03:52:34.740000|42.7002|13.2028|9.0|BULLETIN-INGV||||ML|3.1|--|4 km W Accumoli (RI)|earthquake
7080511|2016-08-24T03:53:55.540000|42.6632|13.277|6.3|BULLETIN-INGV||||ML|3.1|--|4 km N Amatrice (RI)|earthquake
7080551|2016-08-24T03:54:32.040000|42.6393|13.3153|10.0|BULLETIN-INGV||||ML|2.6|--|2 km E Amatrice (RI)|earthquake
7080611|2016-08-24T03:55:20.890000|42.7812|13.1477|8.3|BULLETIN-INGV||||ML|2.7|--|5 km E Norcia (PG)|earthquake
7080631|2016-08-24T03:55:38.330000|42.7307|13.1848|10.3|BULLETIN-INGV||||ML|3.0|--|7 km NW Accumoli (RI)|earthquake
7080751|2016-08-24T03:57:11.080000|42.6937|13.1707|10.5|BULLETIN-INGV||||ML|2.5|--|6 km W Accumoli (RI)|earthquake
7080811|2016-08-24T03:57:28.740000|42.8223|13.1965|10.5|BULLETIN-INGV||||ML|2.6|--|9 km SE Castelsantangelo sul Nera (MC)|earthquake
7080851|2016-08-24T03:59:04.480000|42.6488|13.2412|8.3|BULLETIN-INGV||||ML|2.6|--|4 km W Amatrice (RI)|earthquake
7080971|2016-08-24T04:00:51.150000|42.7368|13.2312|10.4|BULLETIN-INGV||||ML|3.2|--|5 km NW Accumoli (RI)|earthquake
7081101|2016-08-24T04:03:32.610000|42.6627|13.2052|9.1|BULLETIN-INGV||||ML|2.8|--|5 km SW Accumoli (RI)|earthquake
7081241|2016-08-24T04:05:16.110000|42.738|13.1662|10.2|BULLETIN-INGV||||ML|2.5|--|8 km NW Accumoli (RI)|earthquake
7081331|2016-08-24T04:06:50.980000|42.771|13.1238|6.2|BULLETIN-INGV||||Mw|4.4|--|3 km SE Norcia (PG)|earthquake
7081561|2016-08-24T04:12:10.370000|42.8052|13.2273|8.0|BULLETIN-INGV||||ML|2.9|--|7 km NW Arquata del Tronto (AP)|earthquake
